,title,overview,vote_average,processed_overview
0,The Time Being,"an artist meets a mysterious and wealthy benefactor and their relationship is not what it appears to be.  in this suspenseful drama from first-time writer-director nenad cicin-sain, a struggling young artist (wes bentley) accepts a series of bizarre commissions from an eccentric, dying millionaire (frank langella) who may be trying to either help further his career or destroy his life.",4.9,"artist meet mysterious wealthy benefactor relationship appears . suspenseful drama first-time writer-director nenad cicin-sain , struggling young artist ( wes bentley ) accepts series bizarre commission eccentric , dying millionaire ( frank langella ) may trying either help career destroy life ."
1,Confidential Assignment,"when a crime organization from north korea crosses borders and enters south korean soil, a south korean detective must cooperate with a north korean detective to investigate their whereabouts.",6.2,"crime organization north korea cross border enters south korean soil , south korean detective must cooperate north korean detective investigate whereabouts ."
2,Solar Crisis,a huge solar flare is predicted to fry the earth. astronauts aboard the spaceship helios must go to the sun to drop a bomb equipped with an artificial intelligence (freddy) and a japanese pilot (as a back up if the artificial intelligence fail) at the right time so the flare will point somewhere else.,4.4,huge solar flare predicted fry earth . astronaut aboard spaceship helios must go sun drop bomb equipped artificial intelligence ( freddy ) japanese pilot ( back artificial intelligence fail ) right time flare point somewhere else .
3,Going My Way,"youthful father chuck o'malley (bing crosby) led a colourful life of sports, song, and romance before joining the roman catholic clergy. after being appointed to a run-down new york parish , o'malley's worldly knowledge helps him connect with a gang of boys looking for direction, eventually winning over the aging, conventional parish priest (barry fitzgerald).",6.9,"youthful father chuck o'malley ( bing crosby ) led colourful life sport , song , romance joining roman catholic clergy . appointed run-down new york parish , o'malley 's worldly knowledge help connect gang boy looking direction , eventually winning aging , conventional parish priest ( barry fitzgerald ) ."
4,Countdown to Zero,a documentary about the escalating nuclear arms race.,6.3,documentary escalating nuclear arm race .
5,Street Trash,"when a liquor store owner finds a case of ""tenafly viper"" in his cellar, he decides to sell it to the local hobos at one dollar a bottle, unaware of its true properties. the drinks causes its consumers to melt, very messily.",5.6,"liquor store owner find case `` tenafly viper '' cellar , decides sell local hobo one dollar bottle , unaware true property . drink cause consumer melt , messily ."
6,If You Are the One,"qin fen, a funny, honest, single inventor, met a girl called smiley, who was in agony of her boyfriend's betrayal. they traveled to hokkaido, tried to help smiley cure her pain in heart, and both of them gradually found their true love and life redemption during the journey.",6.5,"qin fen , funny , honest , single inventor , met girl called smiley , agony boyfriend 's betrayal . traveled hokkaido , tried help smiley cure pain heart , gradually found true love life redemption journey ."
7,Bloody Murder,"julie mcconnell is one of a dozen camp counselors working to re-open a summer camp when a series of murders and disappearances begin commited by a hockey masked killer who may be the urban legend killer trevor moorehouse. when julie looks into the murders by herself, she finds that she may be the killer's next target when she gets too close to some dark secrets of the camp which may lead to the killer's identity.",3.6,"julie mcconnell one dozen camp counselor working re-open summer camp series murder disappearance begin commited hockey masked killer may urban legend killer trevor moorehouse . julie look murder , find may killer 's next target get close dark secret camp may lead killer 's identity ."
8,Comedy Central Roast of Larry the Cable Guy,"lisa lampinelli hosts the comedy central roast of larry the cable guy with toby keith, warren sapp, jeff foxworthy, greg giraldo, nick dipaolo, gary busey, jeff ross and maureen mccormack among others.",6.5,"lisa lampinelli host comedy central roast larry cable guy toby keith , warren sapp , jeff foxworthy , greg giraldo , nick dipaolo , gary busey , jeff ross maureen mccormack among others ."
9,Baazi,"inspector amar damjee discovers a terrifying crime in the street when he saves the lives of bus passengers. now his job is as a police inspector to identify the terrorists. suddenly, when a police commisioner's daughter is killed in a homicide, amar is framed for it and goes to jail. when he escapes along with the other prisoners accidently, he goes out to prove his innocence and find the man behind this, which amar also discovers that he was his parent's killer too.",7.5,"inspector amar damjee discovers terrifying crime street save life bus passenger . job police inspector identify terrorist . suddenly , police commisioner 's daughter killed homicide , amar framed go jail . escape along prisoner accidently , go prove innocence find man behind , amar also discovers parent 's killer ."
